HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
NO00061442; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00061442,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI186426; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI186426,OU=GERAL,OU=TIC-BC,OU=Desktops,DC=petrobras,DC=biz
MI00196906; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00196906,OU=GERAL,OU=TIC-BC,OU=Desktops,DC=petrobras,DC=biz
MI00281857; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00281857,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00292086; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00292086,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00064507; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00064507,OU=GERAL,OU=TIC-ES,OU=Notebooks,DC=petrobras,DC=biz
NO00068440; Inexistente; -; -; -; -; -
MI191685; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI191685,OU=UO-SUL,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00068317; Inexistente; -; -; -; -; -
MI00195751; Inexistente; -; -; -; -; -
NO00051082; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00051082,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00078036; Inexistente; -; -; -; -; -
NO00072094; Inexistente; -; -; -; -; -
NO00050674; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00050674,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00052120; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00052120,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00321768; Inexistente; -; -; -; -; -
NO00046939; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00046939,OU=GERAL,OU=TIC-BA,OU=Notebooks,DC=petrobras,DC=biz
NO00081867; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00081867,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00057583; Inexistente; -; -; -; -; -
MI00257164; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00257164,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00056920; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00056920,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091781; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091781,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
