HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
MI00328991; Ligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328991,OU=NITEROI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00094832; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094832,OU=Novos Computadores,DC=transp,DC=biz
MI00318732; Inexistente; -; -; -; -; -
NO00089539; Inexistente; -; -; -; -; -
NO00051611; Inexistente; -; -; -; -; -
MI00278551; Inexistente; -; -; -; -; -
NO00081505; Inexistente; -; -; -; -; -
MI00328994; Ligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328994,OU=NITEROI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00328992; Ligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328992,OU=NITEROI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00325430; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325430,OU=SAO CAETANO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00313378; Inexistente; -; -; -; -; -
MI00261875; Inexistente; -; -; -; -; -
MI00317993; Inexistente; -; -; -; -; -
MI00300646; Inexistente; -; -; -; -; -
MI00296131; Inexistente; -; -; -; -; -
MI00328993; Ligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328993,OU=NITEROI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00095390; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00095390,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00068266; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068266,OU=SEDE-RJ,OU=TIC-RIO,OU=Notebooks,DC=transp,DC=biz
MI00329003; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00329003,OU=BARUERI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00329000; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00329000,OU=BARUERI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00079090; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00079090,OU=OSORIO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00325895; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00325895,OU=Novos Computadores,DC=transp,DC=biz
NO00053190; Inexistente; -; -; -; -; -
MI00325125; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325125,OU=CENTRO-OESTE,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00325635; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00325635,OU=Novos Computadores,DC=transp,DC=biz
MI156422; Inexistente; -; -; -; -; -
NO00066500; Inexistente; -; -; -; -; -
NO00093920; Inexistente; -; -; -; -; -
MI00278599; Inexistente; -; -; -; -; -
NO00073429; Inexistente; -; -; -; -; -
NO00042359; Inexistente; -; -; -; -; -
MI00321887; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321887,OU=SAO SEBASTIAO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00211478; Inexistente; -; -; -; -; -
MI00261812; Inexistente; -; -; -; -; -
NO00094733; Ligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094733,OU=TA-Manaus,OU=TIC-AM,OU=Notebooks,DC=transp,DC=biz
MI00229826; Inexistente; -; -; -; -; -
NO00069411; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00069411,OU=CENTRO-OESTE,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00095621; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00095621,OU=Novos Computadores,DC=transp,DC=biz
MI00321950; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321950,OU=ATALAIA,OU=TIC-SEAL,OU=Desktops,DC=transp,DC=biz
MI00322088; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00322088,OU=PILAR,OU=TIC-SEAL,OU=Desktops,DC=transp,DC=biz
MI00201717; Inexistente; -; -; -; -; -
